Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300733	0	31329	0	1074808	1.01697	5929.31	0	188	4968299300169	31332	0	1074811	2.13602	5873.73	0	411	4968299352999	1.0566	737.481
300733	4	579244	0	4132996	1.66685	5999.76	1	416	5028375182563	579252	0	4133004	2.35579	5865.65	0	547	5028375262832	1.60538	11047.9
300733	5	222119	0	4403863	1.01193	5751.4	0	254	5033696428189	222142	0	4403886	2.31443	5671.97	0	530	5033696744604	6.3283	5713
300733	6	291305	0	5100700	1.98951	5849.46	0	404	5047379809733	291309	0	5100704	2.48779	5923.76	0	469	5047379871573	1.2368	75.0236
300733	9	90612	0	6783437	1.62094	5905.56	0	304	5080495259902	90634	0	6783459	1.89772	5863.82	0	395	5080495715700	9.11596	299.304
300733	10	537990	0	7858364	1.07677	5725.08	0	285	5101660568030	537992	0	7858366	2.31986	5704.66	0	596	5101660591355	0.4665	9526.7
300734	7	118867	0	14713903	0.919384	5924.32	1	241	5236505848363	118891	0	14713927	2.19688	5968.22	0	497	5236506193013	6.893	7770.8
300734	14	106114	0	2383110	0.935747	5693.57	0	265	5322733841095	106131	0	2383127	2.32716	5947.41	0	586	5322734111307	5.40424	8372.37
300735	6	14874	0	6427003	1.22977	5765.84	0	326	5401302434556	14877	0	6427006	2.18032	5889.69	0	436	5401302557843	2.46574	10719.4
300735	6	63780	0	6475909	2.88498	3474.46	0	1720	5402262290957	63789	0	6475918	2.21647	3321.75	0	1234	5402262291164	0.00414	1499.33
300735	6	63781	0	6475910	1.3414	3733.99	0	1252	5402262290980	63789	0	6475918	2.21647	3321.75	0	1234	5402262291164	0.00368	6928.33
300735	6	63782	0	6475911	0.966617	1844.5	0	952	5402262291003	63789	0	6475918	2.21647	3321.75	0	1234	5402262291164	0.00322	2639.24
300735	9	473286	0	8769205	5.43849	1099.84	0	1878	5447383119597	473287	0	8769206	2.35182	4478.53	0	1374	5447383119620	0.00046	3392.09
300736	6	563080	0	16172605	0.922575	5842.64	0	236	5592985388451	563094	0	16172619	2.07103	5938.07	0	512	5592985827507	8.78112	10539.3
300736	7	591426	0	116771	1.16932	5849.77	0	309	5605892112365	591447	0	116792	1.85394	5744.06	0	456	5605892528376	8.32022	4468.5
300737	1	535783	0	5450266	0.981058	5979.86	0	182	5710812318134	535797	0	5450280	1.96521	5811.67	0	429	5710812710781	7.85294	1357.01
300737	3	57170	0	6228410	7.57741	4444.22	0	2692	5726116844791	57172	0	6228412	2.16099	1698.87	0	1039	5726116844837	0.00092	5990.03
300737	3	57171	0	6228411	3.92899	4774.97	0	1685	5726116844814	57172	0	6228412	2.16099	1698.87	0	1039	5726116844837	0.00046	6472.79
300737	4	408628	0	7208050	1.015	5858.72	0	248	5745410835788	408645	0	7208067	1.99592	4672.29	1	623	5745411060049	4.48522	5610.46
300738	1	339295	0	14465174	0.900382	5819.97	0	241	5886985800539	339310	0	14465189	1.95092	5236.59	0	558	5886986051328	5.01578	8603.64
300738	5	285995	0	212194	1.00296	5839.7	0	268	5935377913723	286011	0	212210	1.86358	5734.38	0	466	5935378300482	7.73518	8884.1
300738	5	328057	0	254256	0.992913	5963	0	240	5936205011260	328060	0	254259	1.95933	5902.34	0	496	5936205085469	1.48418	8449.08
300738	5	360551	0	286751	1.09965	5940.74	0	281	5936846463653	360565	0	286765	1.89846	5629.56	0	516	5936846740993	5.5468	6194.5
300738	10	258960	0	3326036	3.08167	931.997	0	2045	5996690740554	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	0.00368	1159.99
300738	10	258961	0	3326037	1.37418	1923.01	0	1484	5996690740577	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	0.00322	2187.32
300738	10	258966	0	3326042	1.23371	763.661	0	1199	5996690740692	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	0.00092	1248.05
300738	10	258967	0	3326043	1.36631	4167.92	0	1400	5996690740715	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	0.00046	5213.2
300738	10	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	258970	0	3326046	2.03326	1267.19	1	1232	5996690740784	0.00092	2486.73
300738	14	189520	0	5768370	1.31088	5874.99	0	279	6044823211766	189545	0	5768395	1.85938	5769.49	0	475	6044823647244	8.70956	4568.34
300738	14	288878	0	5867729	0.935755	5983.07	0	254	6046791338717	288880	0	5867731	2.44389	5515.65	0	623	6046791382510	0.87586	7844.42
300739	2	273527	0	7460372	1.1053	5829.32	0	285	6078116088175	273539	0	7460384	2.10438	5795.15	0	530	6078116216964	2.57578	2436.95
300739	4	222419	0	8665780	1.65411	258.515	1	1019	6101804593762	222420	0	8665781	1.96532	1625.2	0	1159	6101804593785	0.00046	1568.72
300739	4	222420	0	8665781	1.96532	1625.2	0	1159	6101804593785	222421	0	8665782	2.10733	1002.43	0	1051	6101804593808	0.00046	1070.6
300739	7	190093	0	10517836	0.937117	5917.71	0	249	6138213355944	190125	0	10517868	2.35837	4660.08	0	685	6138213791071	8.70254	8907.18
300739	8	163891	0	11119612	0.980921	5989.45	0	240	6150038477264	163901	0	11119622	2.15852	5882.36	0	541	6150038719320	4.84112	11234.5
300739	8	544063	0	11499790	1.0291	5894.03	0	281	6157543404195	544067	0	11499794	2.0616	5865.23	0	385	6157543487168	1.65946	7597.03
300739	10	53221	0	12265382	1.80823	2765.29	1	1401	6172612310288	53222	0	12265383	2.18248	635.142	0	1346	6172612310311	0.00046	2230.33
300739	12	196318	0	13664219	1.01493	5891.88	0	253	6200133821090	196341	0	13664242	1.89148	5764.16	0	507	6200134159936	6.77692	1275.32
300740	0	344922	0	15431037	0.944752	5885.94	0	249	6233929793571	344934	0	15431049	2.31993	5797.31	0	574	6233930000327	4.13512	7359.21
300740	5	613419	0	2134352	1.1152	5834.81	0	234	6301093591528	613448	0	2134381	1.91768	5964.39	0	485	6301093974015	7.64974	8680.24
300740	8	239823	0	3644504	0.916878	5845.45	0	241	6330802007274	239836	0	3644517	1.99991	5732.7	0	505	6330802318707	6.22866	6662.36
300740	12	28215	0	5941940	1.0473	5842.03	0	277	6376025316732	28233	0	5941958	1.92318	5800.63	0	526	6376025798540	9.63616	3099.21
300740	13	482766	0	7026385	1.54654	2462.88	0	1081	6397281463061	482767	0	7026386	1.91614	3381.26	1	1156	6397281463084	0.00046	5603.9
300741	2	143310	0	8976644	1.0129	5916.23	0	267	6435660700759	143312	0	8976646	1.98167	5693.38	0	488	6435660800242	1.98966	8803.53
300741	2	355240	0	9188578	0.959867	5942.79	0	240	6439832615240	355260	0	9188598	1.89413	5920.33	0	480	6439832887578	5.44676	5485.23
300741	4	456886	0	10546307	4.00571	5858.34	0	761	6466507164264	456891	0	10546312	2.10262	5846.07	0	427	6466507212043	0.95558	100.972
300741	5	620557	0	11338025	1.38405	5871.05	0	353	6482041498520	620561	0	11338029	2.05689	5796.42	0	525	6482041537067	0.77094	11458
300741	6	441155	0	11786506	0.929639	5872.4	0	254	6490852841959	441177	0	11786528	2.38454	5824.61	1	569	6490853202907	7.21896	7836.09
300741	9	184352	0	13413259	0.948665	5905.07	0	261	6522929437228	184370	0	13413277	2.2053	5846.09	0	478	6522929702586	5.30716	8871.76
300741	10	86333	0	13943088	0.934932	5881.66	0	254	6533365604400	86346	0	13943101	2.45323	5837.78	0	511	6533365787507	3.66214	10172
300741	11	160661	0	14645205	6.47127	5830.67	0	1226	6547134151905	160666	0	14645210	1.92873	5866.41	0	382	6547134185536	0.67262	76.8789
300741	12	454784	0	15566743	0.93722	5973.95	0	238	6565244743023	454804	0	15566763	1.99127	5989.35	0	515	6565245096550	7.07054	10788.9
300741	14	317895	0	16684847	1.10315	5880.66	0	304	6587290633530	317921	0	16684873	2.12769	5405.37	0	654	6587291066634	8.66208	9752.59
300742	2	584451	0	1857984	0.969999	5958.96	0	248	6624359482836	584476	0	1858009	2.02915	5633.26	0	396	6624359814041	6.6241	11521.7
