Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300735	6	63780	0	6475909	2.88498	3474.46	0	1720	5402262290957	63789	0	6475918	2.21647	3321.75	0	1234	5402262291164	0.00414	1499.33
300738	10	258960	0	3326036	3.08167	931.997	0	2045	5996690740554	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	0.00368	1159.99
300738	10	258961	0	3326037	1.37418	1923.01	0	1484	5996690740577	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	0.00322	2187.32
300738	10	258966	0	3326042	1.23371	763.661	0	1199	5996690740692	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	0.00092	1248.05
300738	10	258968	0	3326044	1.94385	1305.95	0	1505	5996690740738	258970	0	3326046	2.03326	1267.19	1	1232	5996690740784	0.00092	2486.73
300739	4	222419	0	8665780	1.65411	258.515	1	1019	6101804593762	222420	0	8665781	1.96532	1625.2	0	1159	6101804593785	0.00046	1568.72
300739	4	222420	0	8665781	1.96532	1625.2	0	1159	6101804593785	222421	0	8665782	2.10733	1002.43	0	1051	6101804593808	0.00046	1070.6
300739	10	53221	0	12265382	1.80823	2765.29	1	1401	6172612310288	53222	0	12265383	2.18248	635.142	0	1346	6172612310311	0.00046	2230.33
300743	0	569552	0	9788187	3.36084	2154.27	0	1325	6779424850652	569553	0	9788188	1.94375	462.05	0	875	6779424850675	0.00046	2275.94
300744	12	436237	0	9707774	1.50487	1294.73	0	1235	7105480309693	436238	0	9707775	2.35002	1034.26	0	1448	7105480309716	0.00046	2115.46
300767	2	388010	0	1764977	2.55215	2531.16	0	1495	8569541840714	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.0041	2075.86
300767	2	388011	0	1764978	1.43416	1402.72	0	998	8569541840737	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00364	1721.71
300767	2	388012	0	1764979	1.10386	1685.23	0	780	8569541840760	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00318	2437.85
300767	2	388016	0	1764983	1.08694	1285.85	0	782	8569541840850	388019	0	1764986	1.93736	1867.54	2	1017	8569541840919	0.00138	1642.42
300783	4	544472	0	9880036	5.19947	385.588	0	1830	2584748329605	544473	0	9880037	2.41267	1094.11	0	1293	2584748329628	0.00046	1007.4
300809	10	560062	0	15880127	1.62567	1736.09	1	1094	4523241920879	560063	0	15880128	1.95023	2048.2	1	1199	4523241920902	0.00046	1543.42
300819	12	224048	0	9749951	1.70527	1011.66	0	1222	6135035836909	224049	0	9749952	1.87813	1407.28	0	1228	6135035836932	0.00046	1806.49
300825	7	180356	0	11370153	2.23066	1991.32	0	1275	7152773246558	180357	0	11370154	1.89983	1146.63	0	986	7152773246581	0.00046	2261.63
300825	12	291840	0	14709076	1.05839	840.444	1	926	7216529587290	291846	0	14709082	1.88067	774.137	0	1117	7216529587428	0.00276	993.75
300828	3	552132	0	3388833	1.15334	1765.51	0	1004	7650753281808	552138	0	3388839	1.96928	2311.97	0	1258	7650753281946	0.00276	2159.2
300828	9	136864	0	6741498	1.565	1765.38	0	1148	7716773859506	136872	0	6741506	2.09374	1461.88	0	1087	7716773859689	0.00366	1606.25
300828	13	294970	0	9411760	2.81517	1446.35	0	1627	7769327464316	294978	0	9411768	1.98711	1457.72	0	1201	7769327464500	0.00368	2099.57
300828	13	294971	0	9411761	1.48782	923.01	0	1140	7769327464339	294978	0	9411768	1.98711	1457.72	0	1201	7769327464500	0.00322	2203.95
300828	13	294976	0	9411766	1.22276	1499.89	0	885	7769327464454	294978	0	9411768	1.98711	1457.72	0	1201	7769327464500	0.00092	2452.1
300828	13	294978	0	9411768	1.98711	1457.72	0	1201	7769327464500	294979	0	9411769	2.32989	751.789	1	1181	7769327464523	0.00046	1729.02
300829	0	363739	0	10485910	3.18447	2245.91	0	2030	7790037352458	363747	0	10485918	1.88805	3591.74	0	1505	7790037352642	0.00368	1912.99
300829	0	363740	0	10485911	1.32335	3351.71	0	1498	7790037352481	363747	0	10485918	1.88805	3591.74	0	1505	7790037352642	0.00322	1219.66
300831	14	354663	0	4181762	1.21655	2740.52	0	876	8322031543951	354665	0	4181764	2.0655	1179.6	0	1179	8322031543997	0.00092	2121.16
300835	1	258620	0	15868780	1.83263	4557.6	0	667	84550353817	258622	0	15868782	1.85125	4458.36	0	655	84550353878	0.00122	271.949
300835	1	258622	0	15868782	1.85125	4458.36	0	655	84550353878	258624	0	15868784	1.99094	3939.15	0	653	84550356541	0.05326	541.082
300840	1	504876	0	12087412	1.51621	3395.98	1	1290	989655623604	504877	0	12087413	1.87884	1586.74	0	1371	989655623627	0.00046	1962.49
300840	1	504877	0	12087413	1.87884	1586.74	0	1371	989655623627	504878	0	12087414	2.14788	2016.52	0	1364	989655623650	0.00046	2202.65
300840	8	192203	0	16172306	1.79753	4174.82	0	552	1070110834723	192206	0	16172309	1.9138	4225.96	0	588	1070110838419	0.07392	562.974
300845	3	59358	0	8579847	3.14231	863.884	0	1792	1905979142760	59366	0	8579855	1.93804	1396.35	0	1248	1905979142944	0.00368	1773.25
