Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300809	10	560062	0	15880127	1.62567	1736.09	1	1094	4523241920879	560063	0	15880128	1.95023	2048.2	1	1199	4523241920902	0.00046	1543.42
300825	7	180356	0	11370153	2.23066	1991.32	0	1275	7152773246558	180357	0	11370154	1.89983	1146.63	0	986	7152773246581	0.00046	2261.63
300840	8	192203	0	16172306	1.79753	4174.82	0	552	1070110834723	192206	0	16172309	1.9138	4225.96	0	588	1070110838419	0.07392	562.974
300901	10	227012	0	8076817	3.16335	4773.09	0	962	3280639013768	227014	0	8076819	2.04214	4523.57	0	634	3280639016735	0.05934	716.006
300954	8	38234	0	5595097	1.67695	1820.91	0	1237	3230181709512	38235	0	5595098	2.23117	1297.32	0	1353	3230181709535	0.00046	2031.31
300991	14	271472	0	13283754	1.17052	4538.69	0	346	487507014341	271476	0	13283758	2.149	4815.46	0	645	487507030880	0.33078	624.245
300996	14	258659	0	8933258	1.62669	5593.95	0	474	1387902285395	258662	0	8933261	2.26577	5064.67	0	712	1387902300103	0.29416	651.026
301016	11	244203	0	6319826	2.55103	1895.86	0	687	4951532525847	244205	0	6319828	2.14742	2177.66	1	593	4951532532452	0.1321	359.475
301018	14	29483	0	9587233	1.89898	4838.18	0	589	5344405427405	29487	0	9587237	2.11365	4637.18	0	652	5344405428591	0.02372	274.716
301020	9	477821	0	8512433	1.49573	5128.44	0	479	5651596130569	477823	0	8512435	1.9601	4900.03	0	614	5651596137260	0.13382	510.573
301075	14	32491	0	7643898	3.32451	4226.61	0	925	6449864552299	32496	0	7643903	1.86395	4719.46	0	556	6449864573552	0.42506	998.818
301080	0	376646	0	11541521	1.70732	5083.71	0	578	7183735251565	376648	0	11541523	2.01489	4110.42	0	632	7183735255510	0.0789	1088.17
301080	0	376648	0	11541523	2.01489	4110.42	0	632	7183735255510	376650	0	11541525	1.85944	3292.86	0	585	7183735259668	0.08316	1115.41
301096	13	14179	0	15373145	1.02715	3773.43	0	304	1421416162161	14181	0	15373147	2.29692	3902.62	0	665	1421416166333	0.08344	194.494
301213	12	397525	0	6603410	1.76466	2275.61	0	495	7731450459586	397528	0	6603413	2.02474	2550.05	0	570	7731450474614	0.30056	338.194
301272	14	1844	0	12066540	1.86602	4877.24	0	661	461139287820	1846	0	12066542	1.92999	4945.75	0	682	461139290777	0.05914	149.472
301304	5	475729	0	8019504	1.97238	4083.34	0	576	4583550060486	475732	0	8019507	2.23537	3499.39	0	634	4583550064314	0.07656	1348.74
301327	0	495907	0	9640843	1.5075	1051.72	0	1182	8494120754197	495914	0	9640850	1.87111	948.35	0	1199	8494120754358	0.00322	984.565
301327	0	495908	0	9640844	0.907415	2945.62	0	965	8494120754220	495914	0	9640850	1.87111	948.35	0	1199	8494120754358	0.00276	2189.27
301327	0	495912	0	9640848	1.14333	1923.17	0	905	8494120754312	495914	0	9640850	1.87111	948.35	0	1199	8494120754358	0.00092	1268.8
301327	0	495914	0	9640850	1.87111	948.35	0	1199	8494120754358	495915	0	9640851	2.24814	511.552	0	1236	8494120754381	0.00046	1225.58
301356	1	232022	0	15094346	2.36846	4154.51	0	685	4632854970418	232024	0	15094348	2.17938	4088.36	0	632	4632854971212	0.01588	254.484
301357	10	274913	0	13236217	1.03169	1243.48	0	273	4925934807779	274916	0	13236220	2.2109	1458.47	0	566	4925934809730	0.03902	242.776
301395	5	146115	0	59528	1.37293	5698.93	0	587	1727842586926	146128	0	59541	1.90668	5394.56	0	646	1727842603522	0.33192	757.389
301476	14	47793	0	3223113	2.60478	4422.07	0	769	6955558791220	47795	0	3223115	2.1219	4576.87	0	634	6955558794944	0.07448	308.039
301653	0	16680	0	1814583	6.87771	3915.15	0	1836	7795232927555	16683	0	1814586	2.0779	3401.04	0	602	7795232936914	0.18718	516.497
301655	1	453672	0	4372220	3.44426	1403.51	0	2091	8176599411637	453680	0	4372228	2.06338	844.038	1	1432	8176599411821	0.00368	1277.77
301655	1	453673	0	4372221	1.47395	1686.21	0	1463	8176599411660	453680	0	4372228	2.06338	844.038	1	1432	8176599411821	0.00322	2321.55
301655	1	453674	0	4372222	0.959293	631.496	0	1142	8176599411683	453680	0	4372228	2.06338	844.038	1	1432	8176599411821	0.00276	1422.81
301655	1	453678	0	4372226	1.15728	2098.3	0	1143	8176599411775	453680	0	4372228	2.06338	844.038	1	1432	8176599411821	0.00092	2089.11
301655	1	453680	0	4372228	2.06338	844.038	1	1432	8176599411821	453681	0	4372229	2.4321	1731.62	0	1457	8176599411844	0.00046	1394.48
301655	1	453681	0	4372229	2.4321	1731.62	0	1457	8176599411844	453682	0	4372230	2.07174	1255.04	0	1062	8176599411867	0.00046	2196.02
301664	3	271621	0	3695230	1.19197	4748.4	0	358	1021718487461	271623	0	3695232	2.30878	4628.32	0	672	1021718489726	0.0453	132.72
301708	2	302377	0	7245924	1.84812	4626.79	0	569	7400739706489	302379	0	7245926	1.96307	4685.28	0	593	7400739730456	0.47934	74.8812
301732	3	509844	0	9216860	2.14302	4315.89	0	654	2942656017174	509846	0	9216862	1.95991	4647.03	0	629	2942656019082	0.03816	1773.41
301732	3	509846	0	9216862	1.95991	4647.03	0	629	2942656019082	509848	0	9216864	2.03074	4201.52	0	614	2942656020665	0.03166	1102.87
301732	3	509848	0	9216864	2.03074	4201.52	0	614	2942656020665	509850	0	9216866	2.00878	3963.47	0	631	2942656023334	0.05338	2016.71
301732	3	509850	0	9216866	2.00878	3963.47	0	631	2942656023334	509854	0	9216870	2.03532	4317.41	0	629	2942656035141	0.23614	1606.78
301772	11	396894	0	7028484	1.68393	1823.79	0	628	981109105607	396895	0	7028485	1.89471	1414.75	0	653	981109105630	0.00046	2218.99
301772	11	396896	0	7028486	1.17904	2978.78	0	450	981109105653	396909	0	7028499	1.86024	2696.42	0	554	981109110389	0.09472	2096.44
301772	11	396909	0	7028499	1.86024	2696.42	0	554	981109110389	396911	0	7028501	2.11888	1974.08	0	581	981109114893	0.09008	769.881
301772	11	396911	0	7028501	2.11888	1974.08	0	581	981109114893	396913	0	7028503	2.26098	1575.63	0	614	981109122564	0.15342	989.952
301801	2	281968	0	4020735	1.35916	2575.73	0	1237	5479900480513	281975	0	4020742	2.11048	1438.8	0	1302	5479900480674	0.00322	1723.86
301801	2	281976	0	4020743	2.25095	2798.78	0	1309	5479900480697	281977	0	4020744	1.88631	3080.13	0	985	5479900480720	0.00046	2296.7
301801	8	410698	0	7953135	4.58728	949.308	0	1581	5558123333468	410699	0	7953136	2.29889	1856.89	0	1075	5558123333491	0.00046	2107.57
301892	11	627767	0	7616837	0.948677	2747.84	0	273	2441347012201	627769	0	7616839	2.2092	2499.79	0	599	2441347029581	0.3476	774.535
301947	7	117179	0	7872258	1.92446	5455.13	0	551	2033793691250	117181	0	7872260	2.11918	5196.63	0	619	2033793691931	0.01362	371.263
301971	11	436132	0	6053716	1.31204	3635.6	0	562	6308953729909	436136	0	6053720	1.86617	5596.73	0	483	6308953746861	0.33904	2024.49
301971	11	436136	0	6053720	1.86617	5596.73	0	483	6308953746861	436138	0	6053722	2.03569	5639.79	0	512	6308953748147	0.02572	999.913
301985	6	526832	0	12674733	3.14496	1746.92	0	1695	8767391933331	526840	0	12674741	1.9588	1427.13	1	1505	8767391933515	0.00368	1865.53
301985	6	526833	0	12674734	1.23268	2400.49	0	997	8767391933354	526840	0	12674741	1.9588	1427.13	1	1505	8767391933515	0.00322	2188.84
301985	6	526841	0	12674742	2.12633	3462.86	0	1684	8767391933538	526842	0	12674743	2.1458	2789.09	0	1472	8767391933561	0.00046	895.468
301988	7	314562	0	6868416	1.76526	1038.25	0	1152	520772883788	314563	0	6868417	2.05019	1199.71	0	1245	520772883811	0.00046	1200.61
301988	11	354746	0	9445857	2.40069	4002.04	1	668	572140841147	354749	0	9445860	2.11479	4658.63	0	607	572140841633	0.00972	854.502
301994	7	24898	0	10756052	2.37648	5585.24	0	613	1595321097271	24900	0	10756054	2.19287	5240.02	0	647	1595321101586	0.0863	483.829
302005	3	256960	0	6336779	5.53212	2535.58	0	1442	3481693441272	256963	0	6336782	2.24143	2634.95	0	620	3481693442196	0.01848	434.081
302047	8	208088	0	5263307	1.57738	2040.91	0	1256	2310205990823	208089	0	5263308	2.21424	1306.26	0	1435	2310205990846	0.00046	2417.34
