Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300840	8	192203	0	16172306	1.79399	4239.77	0	552	1070110834723	192206	0	16172309	1.91147	4293.87	0	588	1070110838419	0.07392	562.974
300901	10	227012	0	8076817	3.17219	4721.96	0	962	3280639013768	227014	0	8076819	2.04639	4466.69	0	634	3280639016735	0.05934	716.006
300991	14	271472	0	13283754	1.17083	4583.29	0	346	487507014341	271476	0	13283758	2.14812	4863.11	0	645	487507030880	0.33078	624.245
300996	14	258659	0	8933258	1.62349	5611.13	0	474	1387902285395	258662	0	8933261	2.26457	5087.32	0	712	1387902300103	0.29416	651.026
301016	11	244203	0	6319826	2.55293	1861.11	0	687	4951532525847	244205	0	6319828	2.14867	2144.91	1	593	4951532532452	0.1321	359.475
301018	14	29483	0	9587233	1.89822	4809.74	0	589	5344405427405	29487	0	9587237	2.11096	4611.13	0	652	5344405428591	0.02372	274.716
301020	9	477821	0	8512433	1.50193	5107.34	0	479	5651596130569	477823	0	8512435	1.96416	4878.46	0	614	5651596137260	0.13382	510.573
301071	7	496523	0	510346	6.40223	5673.2	0	1409	5651233245737	496526	0	510349	2.0857	5653.8	0	562	5651233257508	0.23542	1085.3
301075	14	32491	0	7643898	3.32304	4257.36	0	925	6449864552299	32496	0	7643903	1.86208	4753.29	0	556	6449864573552	0.42506	998.818
301096	13	14179	0	15373145	1.02793	3839.07	0	304	1421416162161	14181	0	15373147	2.29969	3965.7	0	665	1421416166333	0.08344	194.494
301213	12	397525	0	6603410	1.76624	2355.55	0	495	7731450459586	397528	0	6603413	2.02696	2629.39	0	570	7731450474614	0.30056	338.194
301304	5	475729	0	8019504	1.97533	4012.93	0	576	4583550060486	475732	0	8019507	2.23485	3454.99	0	634	4583550064314	0.07656	1348.74
301356	1	232022	0	15094346	2.37127	4101.01	0	685	4632854970418	232024	0	15094348	2.18025	4036.85	0	632	4632854971212	0.01588	254.484
301357	10	274913	0	13236217	1.03191	1258.03	0	273	4925934807779	274916	0	13236220	2.211	1479.66	0	566	4925934809730	0.03902	242.776
301476	14	47793	0	3223113	2.60707	4377	0	769	6955558791220	47795	0	3223115	2.12338	4526.82	0	634	6955558794944	0.07448	308.039
301653	0	16680	0	1814583	6.87691	3942.89	0	1836	7795232927555	16683	0	1814586	2.07778	3428.04	0	602	7795232936914	0.18718	516.497
301664	3	271621	0	3695230	1.18971	4706.62	0	358	1021718487461	271623	0	3695232	2.30919	4585.51	0	672	1021718489726	0.0453	132.72
301708	2	302377	0	7245924	1.85064	4533.15	0	569	7400739706489	302379	0	7245926	1.96332	4591.35	0	593	7400739730456	0.47934	74.8812
301892	11	627767	0	7616837	0.949145	2651.9	0	273	2441347012201	627769	0	7616839	2.21006	2401.32	0	599	2441347029581	0.3476	774.535
301947	7	117179	0	7872258	1.92128	5461.19	0	551	2033793691250	117181	0	7872260	2.11632	5200.14	0	619	2033793691931	0.01362	371.263
301988	11	354746	0	9445857	2.40264	4072.37	1	668	572140841147	354749	0	9445860	2.11478	4735.75	0	607	572140841633	0.00972	854.502
301994	7	24898	0	10756052	2.37229	5647.18	0	613	1595321097271	24900	0	10756054	2.18707	5299.11	0	647	1595321101586	0.0863	483.829
302005	3	256960	0	6336779	5.53496	2502.97	0	1442	3481693441272	256963	0	6336782	2.24241	2596.44	0	620	3481693442196	0.01848	434.081
302895	7	336427	0	4803480	2.97453	5392.86	0	883	2698967659595	336431	0	4803484	2.21696	4810.06	0	679	2698967688591	0.57992	960.055
303471	7	161034	0	1333077	2.21925	3951.47	0	627	5632735076464	161038	0	1333081	1.95036	3879.74	0	547	5632735097924	0.4292	234.371
303738	12	603064	0	13173840	4.62946	4392.58	0	1258	2760603253465	603066	0	13173842	2.15015	3986.64	0	612	2760603262520	0.1811	1025.49
303767	8	463721	0	14585202	1.06351	3499.63	0	291	7489548728841	463724	0	14585205	2.26816	2705.13	0	604	7489548733369	0.09056	835.017
304039	11	475100	0	12707480	2.93318	2902.78	0	787	1350926576423	475103	0	12707483	1.99997	3026.55	0	544	1350926583588	0.1433	149.261
304120	13	128453	0	14539193	5.87827	4493.93	0	1580	5947864694408	128460	0	14539200	1.99468	4398.29	0	619	5947864707758	0.267	298.736
304928	2	391674	0	11611175	4.45923	4183.53	0	1139	4984624493574	391678	0	11611179	2.09205	4024.59	0	563	4984624520103	0.53058	272.793
305236	12	437020	0	10232334	1.4655	3820.96	1	401	2040124357170	437022	0	10232336	2.09051	3875.66	0	548	2040124367803	0.21266	350.928
