Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300000	11	352826	0	11889601	1.53134	1136.22	0	1018	6857628588103	352827	0	11889602	1.94685	1876.47	0	1127	6857628588126	0.00046	2479.02
300000	11	352827	0	11889602	1.94685	1876.47	0	1127	6857628588126	352828	0	11889603	2.06747	2742.17	0	1115	6857628588149	0.00046	4514.18
300000	11	352828	0	11889603	2.06747	2742.17	0	1115	6857628588149	352829	0	11889604	1.89123	1136.03	0	882	6857628588172	0.00046	2192.85
300001	1	247050	0	14746371	1.6285	1459.63	0	1904	6912530935607	247051	0	14746372	1.94768	3248.21	0	1899	6912530935630	0.00046	2650.52
300001	2	297217	0	15421879	0.904731	5602.07	0	261	6925721570867	297236	0	15421898	2.04338	3518.43	0	585	6925721916588	6.91442	4313.82
300001	4	46616	0	16423476	1.17238	5638.1	0	302	6945333420370	46638	0	16423498	2.14792	5103.79	1	704	6945333870885	9.0103	6749.6
300001	5	344884	0	635479	1.04237	1001.28	0	286	6963374765481	344903	0	635498	2.39481	1878.75	0	652	6963375043945	5.56928	2406.29
300001	8	603968	0	2772285	1.75197	4261.52	0	547	7005203512893	603983	0	2772300	1.99745	5697.46	0	542	7005203669033	3.1228	6162.02
300002	1	422649	0	7464856	5.3193	2677.97	0	1987	7096810917174	422650	0	7464857	2.21373	3359.31	0	1314	7096810917197	0.00046	2163.69
300002	10	115481	0	12790728	1.76759	3550.01	0	1178	7200790514824	115483	0	12790730	1.85283	2616.38	0	905	7200790514870	0.00092	2253.65
300003	8	191949	0	4127173	4.43364	2253.93	0	1664	7357066282106	191950	0	4127174	1.85129	5534.01	0	1107	7357066282129	0.00046	6238.02
300003	9	437143	0	4999881	1.52137	1512.08	0	1113	7374119225777	437144	0	4999882	1.97355	1374.93	0	1191	7374119225800	0.00046	2407.36
300003	9	437144	0	4999882	1.97355	1374.93	0	1191	7374119225800	437145	0	4999883	2.14533	2432.54	0	1184	7374119225823	0.00046	3430.42
300004	0	560339	0	8748095	2.44099	2688.52	0	696	7447407023947	560363	0	8748119	2.04727	5397.84	0	651	7447407300754	5.53614	4809.16
300004	2	171302	0	9609507	7.87607	4100.07	1	2667	7464160614385	171304	0	9609509	2.30605	2909.41	0	1145	7464160614431	0.00092	5856.27
300004	2	171303	0	9609508	4.2884	920.323	0	1625	7464160614408	171304	0	9609509	2.30605	2909.41	0	1145	7464160614431	0.00046	3293.01
300004	9	423176	0	14240232	1.8492	3639.53	0	1159	7554713742449	423177	0	14240233	2.03346	3583.67	0	1143	7554713742472	0.00046	5943.78
300004	9	423177	0	14240233	2.03346	3583.67	0	1143	7554713742472	423178	0	14240234	1.88463	457.042	0	908	7554713742495	0.00046	3536.38
