Run	SubRun	Entry	EV	GTID	OWLHits	NHits	Clock50MHz	DeltaT(s)
300000	0	602421	0	5261570	0	3023	6728008292887	236.34
300000	1	133439	0	5417136	0	4747	6731054417279	60.9225
300000	4	16947	0	7176595	0	4722	6765462674370	688.165
300000	5	523700	0	8308451	0	3665	6787579445076	442.335
300000	6	332266	0	8742420	0	3335	6796058175234	169.575
300000	7	37641	0	9073076	19	3444	6802542028146	129.677
300000	8	327277	0	9987956	0	4720	6820443984823	358.039
300000	9	396644	0	10682616	43	8552	6834020891201	271.538
300000	11	11955	0	11548725	0	5807	6850978093842	339.144
300000	11	352816	0	11889591	20	8383	6857628587874	133.01
300000	13	587902	0	13376240	0	5305	6886710807444	581.644
300001	1	49305	0	14548622	0	3021	6908658941372	438.963
300001	1	246691	0	14746012	0	4380	6912523958167	77.3003
300001	2	435954	0	15560618	20	8202	6928445243154	318.426
300001	3	398510	0	16149267	0	5472	6939972794107	230.551
300001	4	145718	0	16522580	0	3031	6947272726920	145.999
300001	5	386679	0	677275	0	3064	6964195211932	338.45
300001	6	178414	0	1095060	0	4318	6972390672189	163.909
300001	7	399504	0	1941975	41	4271	6988943432688	331.055
300001	8	109539	0	2277848	0	3019	6995517759977	131.487
300001	8	475666	0	2643981	0	4555	7002679110825	143.227
300001	11	443204	0	4489855	0	5314	7038735756000	721.133
300002	0	277153	0	6693493	0	4746	7081787296257	861.031
300002	1	422647	0	7464854	18	8330	7096810917128	300.472
300002	1	529910	0	7572119	16	3433	7098898581985	41.7533
300002	4	156836	0	9076878	0	4849	7128270353529	587.435
300002	5	410768	0	9956323	15	3733	7145444721970	343.487
300002	6	53725	0	10225152	0	3365	7150697846512	105.062
300002	6	323445	0	10494876	0	4847	7155956903913	105.181
300002	7	220659	0	11018070	0	5143	7166196797458	204.798
300002	10	115470	0	12790717	19	8397	7200790514573	691.874
300002	10	223940	0	12899188	0	5403	7202895567355	42.1011
300002	10	574303	0	13249557	0	3636	7209742310734	136.935
300002	11	220732	0	13521724	0	3035	7215061858396	106.391
300002	13	380060	0	14932793	0	5037	7242677030925	552.303
300003	4	330127	0	1757431	0	6518	7311694015054	1380.34
300003	7	13391	0	3317695	0	4840	7342170252133	609.525
300003	7	151318	0	3455624	16	8348	7344868671233	53.9684
300003	8	191947	0	4127171	19	8295	7357066282060	243.952
300003	9	238824	0	4801559	0	4796	7370238556339	263.445
300003	9	437133	0	4999871	17	8389	7374119225548	77.6134
300003	10	566392	0	5755022	0	3886	7388877397197	295.163
300003	13	337984	0	7404501	0	4570	7421152631487	645.505
300003	14	146355	0	7838641	0	3129	7429627971471	169.507
300003	14	338956	0	8031245	0	3054	7433413024233	75.7011
300004	0	600634	0	8788391	0	3139	7448196916824	295.678
300004	1	372765	0	9185403	0	3018	7455911483390	154.291
300004	2	171301	0	9609506	20	8298	7464160614362	164.983
300004	3	18190	0	10081775	0	3312	7473382260251	184.433
300004	4	373506	0	11062553	27	3588	7492581913617	383.993
300004	5	448069	0	11762823	16	7990	7506296183639	274.285
300004	6	239772	0	12180384	0	4674	7514467925829	163.435
300004	6	603510	0	12544128	0	3744	7521582972410	142.301
300004	8	63836	0	13255179	0	3421	7535493037899	278.201
300004	9	286563	0	14103617	0	3116	7552031635579	330.772
300004	9	423165	0	14240221	17	8380	7554713742197	53.6421
300004	11	98395	0	15166743	15	8394	7572796612146	361.657
300004	11	585088	0	15653443	21	8283	7582313251525	190.333
300004	12	121176	0	15815070	16	8480	7585458671352	62.9084
300004	12	374419	0	16068317	1	3182	7590407898361	98.9845
300004	12	541900	0	16235800	0	4985	7593679941899	65.4409
300004	13	336214	0	16655506	0	5595	7601874359832	163.888
300004	13	607287	0	214902	1	4504	7607167405500	105.861
300005	1	343617	0	1664319	0	4941	7635415380935	564.96
300005	3	446264	0	3018471	16	8325	7661845066841	528.594
300005	5	230798	0	4055301	0	5899	7682084530360	404.789
300005	6	168424	0	4618439	21	8372	7693084807001	220.006
300005	9	552580	0	6879616	0	6006	7737292271580	884.149
300005	10	395217	0	7348451	0	3794	7746467285881	183.5
300005	14	81528	0	9537773	0	4783	7789244036522	855.535
300006	0	245020	0	10157119	0	3385	7801387667376	242.873
300006	1	412823	0	10957202	1	5198	7816053481777	293.316
300006	3	599456	0	12395116	0	3776	7844165350020	562.237
300006	4	137204	0	12558585	0	3509	7847360303004	63.8991
300006	4	393034	0	12814419	0	3195	7852342218039	99.6383
300006	7	519650	0	14817483	0	4797	7891492735177	783.01
300006	8	519512	0	15442380	19	8279	7903697341849	244.092
300006	10	115446	0	16288778	0	4269	7920189268781	329.839
300006	11	523982	0	610829	20	8409	7940338620935	402.987
300006	13	301733	0	1638919	0	4017	7960409511174	401.418
300006	13	415644	0	1752831	0	3934	7962628927858	44.3883
300007	1	93795	0	3188083	0	3372	7990672283396	560.867
300007	2	483794	0	4203544	0	4201	8010484622506	396.247
300007	4	508566	0	5480151	0	3482	8035461905573	499.546
